id,load,retwis_post_success,initusers,duration,nclient,txn_failed,retwis_newuser_success,skew,initposts,filename,zalpha,nkeys,edgefactor,config,genargs,mode,total_time,clientargs,retwis_timeline_success,closest,txn_count,keys,gen,debug,threads,alpha,retwis_follow_success,txn_time,rtime,name,err,shards,txns,length,client,store,error,wper,txn_retries,tlen,nshard,writes
1,"/Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys",0.983871,10,5,4,70.25,0.03125,0,20,/Users/bholt/hub/tapir/src/data/claret.MiE9tC.yml,0.6,100000,8,"/Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard",--initposts=100 --initusers=50,"ds-l, ds-l, ds-l, ds-l",17.5121,-n 1000 -t 1,0.97534,-1,975.75,100000,adhoc,0,1,0.6,0.933775,17.1041,5,claret,0,1,1000,1,dsretwis,dsstore,0,0,569.5,1,1,0
2,"/Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys",0.995864,10,5,3,54.6667,0.0625001,0,20,/Users/bholt/hub/tapir/src/data/claret.E5YjyF.yml,0.6,100000,8,"/Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard",--initposts=100 --initusers=50,"ds-l, ds-l, ds-l",13.7979,-n 1000 -t 1,0.994331,-1,990.667,100000,adhoc,0,1,0.6,0.958057,13.4636,5,claret,0,1,1000,1,dsretwis,dsstore,0,0,377.0,1,1,0
3,/Users/bholt/hub/tapir/src/tools/generatedKeys,1.0,10,5,1,0.0,1.0,0,20,/Users/bholt/hub/tapir/src/data/claret.HSFOkp.yml,0.6,100000,8,/Users/bholt/hub/tapir/src/tools/shard,--initposts=100 --initusers=50,ds-l,4.77055,-n 1000 -t 1,1.0,-1,1047.0,100000,adhoc,0,1,0.6,1.0,4.76684,5,claret,0,1,1000,1,dsretwis,dsstore,0,0,0.0,1,1,0
4,"/Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys",,10,5,2,,,0,20,/Users/bholt/hub/tapir/src/data/claret.JQ39XH.yml,0.6,100000,8,"/Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard",--initposts=100 --initusers=50,"ds-l, ds-l",,-n 1000 -t 1,,-1,,100000,adhoc,0,1,0.6,,,5,claret,0,1,1000,1,dsretwis,dsstore,0,0,,1,1,0
5,"/Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys",0.983871,10,5,4,70.25,0.03125,0,20,/Users/bholt/hub/tapir/src/data/claret.MiE9tC.yml,0.6,100000,8,"/Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard",--initposts=100 --initusers=50,"ds-l, ds-l, ds-l, ds-l",17.5121,-n 1000 -t 1,0.97534,-1,975.75,100000,adhoc,0,1,0.6,0.933775,17.1041,5,claret,0,1,1000,1,dsretwis,dsstore,0,0,569.5,1,1,0
6,"/Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys",0.99938,10,5,4,71.25,0.0104166,0,20,/Users/bholt/hub/tapir/src/data/claret.QZdrZS.yml,0.6,100000,8,"/Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard",--initposts=100 --initusers=50,"ds-l, ds-l, ds-l, ds-l",20.0689,-n 1000 -t 1,0.978741,-1,975.75,100000,adhoc,0,1,0.6,0.885762,19.5894,5,claret,0,1,1000,1,dsretwis,dsstore,0,0,560.0,1,1,0
7,/Users/bholt/hub/tapir/src/tools/generatedKeys,1.0,10,5,1,0.0,1.0,0,20,/Users/bholt/hub/tapir/src/data/claret.VmDRWd.yml,0.6,100000,8,/Users/bholt/hub/tapir/src/tools/shard,--initposts=100 --initusers=50,ds-l,4.13925,-n 1000 -t 1,1.0,-1,1047.0,100000,adhoc,0,1,0.6,1.0,4.13626,5,claret,0,1,1000,1,dsretwis,dsstore,0,0,0.0,1,1,0
8,"/Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys",0.656327,10,5,2,350.5,0.53125,0,20,/Users/bholt/hub/tapir/src/data/claret.dUrrkO.yml,0.6,100000,8,"/Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard",--initposts=100 --initusers=50,"ds-l, ds-l",5.50877,-n 1000 -t 1,0.564626,-1,635.5,100000,adhoc,0,1,0.6,0.592715,4.84044,5,claret,0,1,1000,1,dsretwis,dsstore,0,0,1813.0,1,1,0
9,"/Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys",,10,5,3,,,0,20,/Users/bholt/hub/tapir/src/data/claret.ifpUb2.yml,0.6,100000,8,"/Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard",--initposts=100 --initusers=50,"ds-l, ds-l, ds-l",,-n 1000 -t 1,,-1,,100000,adhoc,0,1,0.6,,,5,claret,0,1,1000,1,dsretwis,dsstore,0,0,,1,1,0
10,"/Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys",0.833747,10,5,2,196.0,0.677083,0,20,/Users/bholt/hub/tapir/src/data/claret.jriIM0.yml,0.6,100000,8,"/Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard",--initposts=100 --initusers=50,"ds-l, ds-l",5.08756,-n 1000 -t 1,0.758503,-1,811.0,100000,adhoc,0,1,0.6,0.718543,4.7575,5,claret,0,1,1000,1,dsretwis,dsstore,0,0,1051.5,1,1,0
11,"/Users/bholt/hub/tapir/src/tools/generatedKeys, /Users/bholt/hub/tapir/src/tools/generatedKeys",,10,5,2,,,0,20,/Users/bholt/hub/tapir/src/data/claret.vFkUcI.yml,0.6,100000,8,"/Users/bholt/hub/tapir/src/tools/shard, /Users/bholt/hub/tapir/src/tools/shard",--initposts=100 --initusers=50,"ds-l, ds-l",,-n 1000 -t 1,,-1,,100000,adhoc,0,1,0.6,,,5,claret,0,1,1000,1,dsretwis,dsstore,0,0,,1,1,0
